"label","Hemi","Region","PGS","Estimate","Std_Error","t_value","P_Value","Significant_P_Value","Phenotype","Timepoint"
"lh_transversetemporal","left","transverse temporal","ADHD",0.0105797429183278,0.0053806460080381,1.96625886604003,0.0492774149977428,"not sig","CT","T0"
"lh_transversetemporal","left","transverse temporal","ASD",0.011285076362367,0.00535823721591717,2.10611734934833,0.0352019894280795,"not sig","CT","T0"
"lh_transversetemporal","left","transverse temporal","BIP",0.00334015137957987,0.00545193158703994,0.612654675917047,0.540109085745693,"not sig","CT","T0"
"lh_transversetemporal","left","transverse temporal","MDD",-0.000785966634838679,0.00537562779418758,-0.146209273582615,0.883757113287158,"not sig","CT","T0"
"lh_transversetemporal","left","transverse temporal","SCZ",0.00329090120675409,0.00541076515051355,0.608213647277177,0.543050135492048,"not sig","CT","T0"
"lh_transversetemporal","left","transverse temporal","SUD",-0.00291472442862175,0.00540129692463224,-0.539634178474682,0.589453125775381,"not sig","CT","T0"
"lh_insula","left","insula","ADHD",-0.00299657076703015,0.00518685409558358,-0.577724129464453,0.563454482967688,"not sig","CT","T0"
"lh_insula","left","insula","ASD",0.00442713098454848,0.00516526610809452,0.857096399662874,0.391398080524169,"not sig","CT","T0"
"lh_insula","left","insula","BIP",0.00242295441845459,0.00525529333226217,0.461050271652793,0.644765696545712,"not sig","CT","T0"
"lh_insula","left","insula","MDD",-0.0100994507242315,0.00518142006873832,-1.94916655863626,0.0512843316187212,"not sig","CT","T0"
"lh_insula","left","insula","SCZ",-0.00471283198803787,0.00521556161731132,-0.903609684601404,0.366209260462406,"not sig","CT","T0"
"lh_insula","left","insula","SUD",-0.00178712479917991,0.00520648581189892,-0.343249720395974,0.731412875614619,"not sig","CT","T0"
"rh_bankssts","right","bankssts","ADHD",-0.00748463991085258,0.00537299321823448,-1.39301123356191,0.163626147587364,"not sig","CT","T0"
"rh_bankssts","right","bankssts","ASD",-0.00251365303265816,0.00535080921285825,-0.469770633312385,0.638522124164449,"not sig","CT","T0"
"rh_bankssts","right","bankssts","BIP",-0.00377346590004379,0.0054440033004489,-0.693141736290396,0.48822567846469,"not sig","CT","T0"
"rh_bankssts","right","bankssts","MDD",-0.00921913973521786,0.00536757178293889,-1.71756244872614,0.0858862067636765,"not sig","CT","T0"
"rh_bankssts","right","bankssts","SCZ",0.00501740538049485,0.00540286376630469,0.928656652752605,0.35307411235612,"not sig","CT","T0"
"rh_bankssts","right","bankssts","SUD",-0.0154182657642878,0.00539278171469246,-2.85905615691457,0.00425180273043273,"not sig","CT","T0"
"rh_caudalanteriorcingulate","right","caudal anterior cingulate","ADHD",-0.00535526998571273,0.0055767652880605,-0.960282477223494,0.336920379997252,"not sig","CT","T0"
"rh_caudalanteriorcingulate","right","caudal anterior cingulate","ASD",0.00834228710367278,0.00555347282079562,1.5021748323741,0.133061908828459,"not sig","CT","T0"
"rh_caudalanteriorcingulate","right","caudal anterior cingulate","BIP",-0.00296745404010625,0.00565039603603425,-0.525176292277906,0.599464311659208,"not sig","CT","T0"
"rh_caudalanteriorcingulate","right","caudal anterior cingulate","MDD",-6.93226851336248e-05,0.00557130771568574,-0.0124428031390997,0.990072413840972,"not sig","CT","T0"
"rh_caudalanteriorcingulate","right","caudal anterior cingulate","SCZ",0.00531770921506937,0.00560767549472419,0.948291180556431,0.342988457652261,"not sig","CT","T0"
"rh_caudalanteriorcingulate","right","caudal anterior cingulate","SUD",0.0125608349502155,0.0055974911302989,2.24401158623091,0.024838518264617,"not sig","CT","T0"
"rh_caudalmiddlefrontal","right","caudal middle frontal","ADHD",0.00560109753029873,0.00481468772131497,1.16333557948157,0.244702119057848,"not sig","CT","T0"
"rh_caudalmiddlefrontal","right","caudal middle frontal","ASD",0.0129779988738196,0.0047942279040861,2.70700499297467,0.00679295461611695,"not sig","CT","T0"
"rh_caudalmiddlefrontal","right","caudal middle frontal","BIP",-0.00140914500813251,0.00487830456989802,-0.288859579786746,0.772690722424572,"not sig","CT","T0"
"rh_caudalmiddlefrontal","right","caudal middle frontal","MDD",0.0031316768585659,0.00480997650251963,0.651079450580563,0.514999913280688,"not sig","CT","T0"
"rh_caudalmiddlefrontal","right","caudal middle frontal","SCZ",0.00837902764588302,0.00484124702903859,1.73075812814844,0.0835046295511535,"not sig","CT","T0"
"rh_caudalmiddlefrontal","right","caudal middle frontal","SUD",-0.0212062390310784,0.00483153170306943,-4.38913378496642,1.14169979524775e-05,"sig","CT","T0"
"rh_cuneus","right","cuneus","ADHD",0.00661019591814347,0.00537954314227555,1.22876529536435,0.219168925026564,"not sig","CT","T0"
"rh_cuneus","right","cuneus","ASD",0.0067832929180556,0.00535717911079482,1.2662061091792,0.205448591649886,"not sig","CT","T0"
"rh_cuneus","right","cuneus","BIP",0.0043295405833458,0.00545058990499649,0.794325138894959,0.427012110322094,"not sig","CT","T0"
"rh_cuneus","right","cuneus","MDD",0.00222484169647904,0.00537431382853513,0.413976884763624,0.678893832106785,"not sig","CT","T0"
"rh_cuneus","right","cuneus","SCZ",0.0041467138231676,0.00540943682814068,0.766570339003829,0.443342716278353,"not sig","CT","T0"
"rh_cuneus","right","cuneus","SUD",0.00155491361905288,0.00540000715624541,0.287946584895639,0.773389506368355,"not sig","CT","T0"
