"label","Hemisphere","Region","PGS","Estimate_Score","Std_Error_Score","t_value_Score","p_value_Score","Significant_p_value_Score","Estimate_Interaction","Std_Error_Interaction","t_value_Interaction","p_value_Interaction","Significant_p_value_Interaction","Phenotype"
"lh_bankssts","left","bankssts","ADHD",-0.0792175834045472,0.0404572481804221,-1.95805663922743,0.050223366973959,"not sig",0.00135280271325236,0.000729764203356224,1.8537531808641,0.0637744794955859,"not sig","CT"
"lh_bankssts","left","bankssts","ASD",-0.000785620112683734,0.0401458656072545,-0.0195691412004769,0.984387080872241,"not sig",0.000102513922489048,0.000725402771096614,0.141320003967002,0.887617147322856,"not sig","CT"
"lh_bankssts","left","bankssts","BIP",-0.0393043685431077,0.0401646406383978,-0.978581357093791,0.327786874493427,"not sig",0.00073218984383696,0.000725140643311226,1.00972114939461,0.312628906792991,"not sig","CT"
"lh_bankssts","left","bankssts","MDD",-0.0145997460213613,0.0402211974802363,-0.362986358835668,0.716615074448698,"not sig",7.64294300590726e-05,0.000726755983803653,0.105165188539709,0.91624473302872,"not sig","CT"
"lh_bankssts","left","bankssts","SCZ",0.019270720876709,0.0403208022190136,0.47793495704859,0.632696499856738,"not sig",-0.000442207081165318,0.000726835306278944,-0.608400661532543,0.54292177283739,"not sig","CT"
"lh_bankssts","left","bankssts","SUD",-0.0887009906418205,0.0402624296562145,-2.20307098700213,0.0275897457167974,"sig",0.00130472744454855,0.000729808898757886,1.7877658751067,0.0738137886134248,"not sig","CT"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","ADHD",-0.0398901807587434,0.0412099006584992,-0.967975659279256,0.333056526141025,"not sig",0.000722753545862937,0.000743345851271506,0.972297813496442,0.330902411289845,"not sig","CT"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","ASD",-0.0127181215940493,0.0408911822930823,-0.31102357234119,0.755782701611173,"not sig",0.000367741811301355,0.000738870862729388,0.497707826700484,0.61868999076015,"not sig","CT"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","BIP",-0.0185642252940229,0.0409097510122141,-0.453784851647724,0.649983687692,"not sig",0.00020371633396477,0.000738598007387935,0.275814897856571,0.782690240563781,"not sig","CT"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","MDD",-0.056388436923056,0.0409686180423012,-1.37638123074675,0.168703635798689,"not sig",0.00101648610981207,0.000740265338966915,1.37313751746183,0.16970959963027,"not sig","CT"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","SCZ",-0.0203374789382573,0.0410683686649927,-0.495210294427722,0.620451684688701,"not sig",0.000186167698153977,0.000740315318284254,0.251470817307194,0.801450121821974,"not sig","CT"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","SUD",-0.0441118468117664,0.0410175987151389,-1.07543708538661,0.282179085684336,"not sig",0.00088536439060204,0.000743503286227879,1.19080091104087,0.233731751168704,"not sig","CT"
